tier,domain,country,name,listed_by,platform,access,catalogue_size,size_source,brand_hits,shop_signals,glaze_urls,score,url,note
C,wheelhousecle.com,United States,"Wheelhouse Studio & Supply, LLC.",mayco,wix,,2400,sitemap urls,mayco:456;amaco:145;standard:21;duncan:8;coyote:5,cart,45,4350,https://www.wheelhousecle.com/,
C,hawaiiceramicsupply.com,United States,Hawaii Ceramic Supply,amaco,unknown,,986,sitemap product urls,amaco:298;laguna:193;mayco:118;spectrum:11;duncan:6;coyote:5,product urls,996,3875,https://www.hawaiiceramicsupply.com,
C,wedgedceramicssupply.com,United States,"Wedged Ceramics Supply, LLC.",mayco,unknown,,1162,sitemap product urls,mayco:304;amaco:152;speedball:43;duncan:4;standard:1,product urls,1171,3845,https://www.wedgedceramicssupply.com,
C,kilnroomcolumbus.com,United States,Kiln Room,mayco,unknown,,975,sitemap product urls,mayco:386;amaco:192;standard:16;laguna:15,product urls,1008,3810,https://www.kilnroomcolumbus.com,
C,nvceramics.com,Canada,North Vancouver Ceramics,mayco,magento,,1200,sitemap product urls,mayco:26;duncan:1;standard:1,cart,1491,2775,https://www.nvceramics.com/,
C,armadilloclay.com,United States,Armadillo Clay & Supply,amaco/mayco/spectrum,unknown,,1306,sitemap urls,amaco:16;mayco:13;coyote:11;laguna:4;spectrum:3;standard:2;duncan:1;speedball:1,cart,1306,2765,https://www.armadilloclay.com/,
C,thespringsceramicsupply.com,United States,The Springs Ceramic Supply,amaco,unknown,,1151,sitemap product urls,amaco:82;coyote:40;mayco:5;laguna:4;speedball:3;standard:1,product urls,1162,2718,https://www.thespringsceramicsupply.com,
C,nuceramics.ca,Canada,Nu Ceramics,spectrum,wix,,1314,sitemap urls,spectrum:104;mayco:53;amaco:53;standard:1,cart,619,2566,https://www.nuceramics.ca/,
C,bigcreekclay.com,United States,Big Creek Clay,amaco/mayco,unknown,,1006,sitemap product urls,amaco:49;standard:28;mayco:18;laguna:10;duncan:2,product urls,1022,2349,https://www.bigcreekclay.com,
C,creative-crafts.com,United States,CREATIVE CRAFTS,amaco/mayco/spectrum,opencart,,500,sitemap urls,duncan:158;mayco:140;laguna:1,cart,500,1897,https://creative-crafts.com,
C,learnfiredarts.com,United States,American Slip Company,mayco,unknown,,730,sitemap product urls,mayco:209;duncan:7;standard:2,cart,392,1776,https://learnfiredarts.com,
C,pottersshop.com,United States,The Potter’s Shop,amaco/mayco/spectrum,lightspeed,,1543,sitemap urls,mayco:10;standard:6;duncan:2;speedball:1;laguna:1;coyote:1,cart,154,1760,https://www.pottersshop.com/,
C,ciypottery.com,United States,CIY Pottery,spectrum,wix,,586,sitemap urls,coyote:93;amaco:36;spectrum:36;mayco:27;standard:4;laguna:2,cart,289,1469,https://www.ciypottery.com/,
C,ceramicasupply.com,United States,Ceramica! LLC,amaco/mayco,wix,,950,sitemap urls,mayco:8;amaco:1;laguna:1;standard:1,cart,413,1396,https://www.ceramicasupply.com/,
C,artsupplydepo.com,United States,"The Art Supply Depo, LLC",amaco/mayco,unknown,,1249,sitemap product urls,standard:24;laguna:7;amaco:2;spectrum:1,cart,34,1385,https://www.artsupplydepo.com/,
C,silverleadco.com,United States,Silver Lead Paint Company,amaco,unknown,,1206,sitemap urls,amaco:6;standard:2,cart,4,1234,https://www.silverleadco.com/,
