tier,domain,country,name,listed_by,platform,access,catalogue_size,size_source,brand_hits,shop_signals,glaze_urls,score,url,note
M,scarvapottery.com,United Kingdom,Scarva Pottery,spectrum,unknown,no shop detected,0,unknown,,,0,0,https://scarvapottery.com,same catalogue as scarva.com
X,cosplayshop.be,Belgium,Select Style,amaco,woocommerce,woo store api /wp-json/wc/store/v1/products,765,api count,,,3,80,https://cosplayshop.com/en/,"cosplay retailer; Amaco listing is craft foam, not ceramics"
X,sibelco.com,Germany,SIBELCO DEUTSCHLAND,sio2,oxid,no shop detected,42,sitemap glaze urls,,cart;prices,42,46,https://www.sibelco.com/en,"industrial raw-materials multinational, no consumer shop"
X,salescapeartsupply.com,United Kingdom,Salescape Limited,amaco,shopify,shopify /products.json,4,api count,amaco:7,,1,22,https://salescapeartsupply.com,"4 products total, general art supply"
X,cristaleraiberica.com,Spain,CRISTALERA IBÉRICA,sio2,epages,json-ld Product+offers,93,sitemap product urls,,cart;prices,0,9,https://www.cristaleraiberica.com/,"glazing/windows firm, not ceramics"
X,aigaia.com.cy,Cyprus,AIGAIA School of Art & Design,amaco,unknown,no shop detected,2,sitemap glaze urls,amaco:1,prices,2,5,https://www.aigaia.com.cy/,"art school, no shop"
X,hins.be,Belgium,ARGILIÈRES HINS,sio2,unknown,no shop detected,1,sitemap glaze urls,sio-2:1,prices,1,4,https://www.hins.be/,"clay producer, brochure site"
X,leimenzwa.nl,Netherlands,Leim&Zwa,mayco,unknown,no shop detected,1,sitemap glaze urls,mayco:1,prices,1,4,https://leimenzwa.nl,"studio/workshops, no shop"
X,keramix.eu,Austria,Keramix Handels GMBH,mayco,unknown,no shop detected,3,sitemap product urls,,prices,1,1,https://keramix.eu/en/homepage-english-2,"workshops, no shop"
X,3dpotter.fr,France,3D POTTER FRANCE (Pâtes pour impression 3D),sio2,unknown,unreachable,0,unknown,,,0,0,,domain does not resolve
X,argilecreation.ch,Switzerland,Argile et Création,mayco,woocommerce,no shop detected,0,unknown,,prices,0,0,https://argilecreation.ch,"studio/workshops, no shop"
X,casparceramique.ch,Switzerland,LES ARGILES DU MOULIN,sio2,unknown,unreachable,0,unknown,,,0,0,,domain does not resolve
X,colorobbiaspa.com,Italy,COLOROBBIA,sio2,unknown,unreachable,0,unknown,,,0,0,,"manufacturer group site, DNS failed"
X,cristaleraibericanova.com,Spain,CRISTALERA IBERICA,sio2,epages,no shop detected,0,unknown,,add-to-cart;cart;prices,0,0,https://www.cristaleraibericanova.es/,"glazing/windows firm, not ceramics"
X,danilogueller.ch,Switzerland,DANILO GÜLLER,sio2,unknown,no shop detected,0,unknown,,,0,0,https://danilogueller.ch,"studio site, no shop"
X,eurolijsten.be,Belgium,Eurolijsten nv,amaco,unknown,no shop detected,0,unknown,,prices,0,0,https://eurolijsten.be,picture framing wholesaler
X,les-gres-d-uzes.fr,France,LES GRÈS D'UZÈS,sio2,unknown,no shop detected,0,unknown,,,0,0,https://les-gres-d-uzes.fr,"studio site, no shop"
X,quadrimovel.com,Portugal,QUADRIMÓVEL Comércio e Indústria de Quadros,sio2,epages,no shop detected,0,unknown,,add-to-cart;cart;prices;checkout,0,0,https://www.quadrimovel.com/,frame manufacturer
X,www.boerkey,Germany,BÖRKEY KERATECH,sio2,unknown,unreachable,0,unknown,,,0,0,,malformed URL in source list
